Latitude,Longitude,Elevation,Slope,Temperature,Radar,Illumination,Hazard_Score,Ice_Probability,CPR,DOP,S1,S2,S3,S4
-86.27619,7.8593,-1513.94,11.394,189.21,0.473,166.4,33.07,0.4765,1.2552,0.2073,1.473,-0.0902,0.1256,0.2633
-85.16245,185.44802,-2220.5,14.235,170.98,0.528,101.0,45.58,0.726,1.5399,0.1936,1.528,0.1553,0.1521,0.2007
-88.37087,124.13925,-3441.85,6.126,174.55,0.6278,0.0,25.78,0.8409,1.7667,0.1199,1.6278,-0.0898,-0.1058,-0.1372
-88.1477,151.66085,-3285.49,5.286,163.53,0.6446,0.0,39.11,0.8303,1.7795,0.1374,1.6446,0.1175,0.1132,0.1565
-87.65222,36.10346,-1908.26,14.048,175.85,0.4463,131.54,40.59,0.692,1.567,0.1821,1.4463,-0.1428,0.1459,0.1663
-89.05264,281.8154,-2212.51,9.061,172.42,0.3992,84.77,31.35,0.6113,1.4437,0.2045,1.3992,0.1279,-0.1264,-0.2226
-89.35039,339.26553,-1473.55,16.233,190.81,0.3126,148.37,41.07,0.4843,1.1612,0.2686,1.3126,-0.0757,-0.1886,-0.2881
-87.62148,8.01678,-1548.23,3.333,181.96,0.4248,101.82,32.62,0.5521,1.2831,0.1906,1.4248,-0.0867,0.0996,-0.2373
-88.86545,216.49419,-2329.62,15.552,163.57,0.536,85.01,42.08,0.7599,1.4919,0.1385,1.536,0.1173,-0.1151,0.1351
-86.65093,274.98386,-3004.1,7.858,167.04,0.4754,0.86,42.12,0.7693,1.621,0.1214,1.4754,0.0807,0.1,0.1247
-87.81424,102.53073,-3212.42,17.844,179.35,0.5358,0.0,58.5,0.7114,1.5928,0.1242,1.5358,0.1061,-0.0905,-0.1302
-85.83661,283.52001,-2415.62,27.499,178.49,0.4858,96.77,59.88,0.6525,1.4888,0.1649,1.4858,0.0867,0.0913,0.2102
-86.49867,227.64782,-2894.98,7.511,168.68,0.5894,0.0,46.31,0.6974,1.5115,0.2003,1.5894,0.128,-0.0996,0.274
-88.43817,334.49855,-1241.37,13.254,206.49,0.4568,225.18,35.01,0.3934,1.1144,0.2628,1.4568,0.2086,0.1264,-0.295
-85.8387,353.16173,-1715.45,3.497,192.34,0.4559,127.79,24.4,0.5475,1.2568,0.2535,1.4559,0.1863,0.0934,0.3046
-85.97618,15.2446,-1650.8,12.497,196.23,0.3402,144.45,49.73,0.47,1.1163,0.2819,1.3402,0.1326,0.0827,0.344
-88.06261,160.17759,-3061.52,11.35,147.82,0.6454,0.0,52.09,0.8444,1.7276,0.1728,1.6454,-0.0594,0.104,0.2579
-88.55836,196.9156,-3180.58,13.203,183.87,0.4825,0.0,41.37,0.6366,1.3624,0.2217,1.4825,0.1814,0.0713,-0.2645
-86.58752,52.82756,-2091.17,6.436,185.93,0.4489,86.69,31.21,0.6055,1.3999,0.2413,1.4489,0.1799,0.1931,-0.2293
-89.30124,121.0629,-3174.12,16.447,189.69,0.4745,0.0,67.0,0.7103,1.551,0.165,1.4745,-0.0924,0.1119,-0.1953
-89.00046,355.55308,-1834.92,3.385,180.84,0.5242,136.8,19.91,0.7535,1.6361,0.1484,1.5242,-0.0946,-0.1216,0.1656
-89.96319,5.84296,-1736.42,16.694,170.94,0.4291,120.42,46.34,0.5663,1.2853,0.2134,1.4291,0.0859,-0.1152,0.2689
-86.06538,162.90286,-2533.31,9.581,170.06,0.5658,0.0,50.53,0.6958,1.5104,0.1634,1.5658,0.0934,-0.0741,0.2264
-86.67575,303.35566,-1851.15,3.637,176.38,0.4345,68.64,33.57,0.5063,1.1012,0.2308,1.4345,0.0878,0.1047,-0.3016
-86.47417,116.60445,-3092.64,20.403,181.77,0.6855,52.3,60.66,0.7933,1.6882,0.1453,1.6855,0.0696,-0.1327,0.1937
-86.09635,172.72746,-2876.89,11.782,178.6,0.5726,0.0,51.36,0.7203,1.5574,0.1458,1.5726,0.1235,-0.057,-0.1846
-87.70542,352.09647,-1767.95,20.07,190.05,0.3708,166.02,47.78,0.4089,0.9993,0.2334,1.3708,0.1104,0.1534,0.2582
-87.15629,170.95566,-3075.5,18.51,168.07,0.561,0.0,53.8,0.799,1.6732,0.1356,1.561,0.1113,0.0614,0.1692
-89.30102,47.13167,-2090.74,7.003,184.86,0.4262,85.45,36.27,0.6474,1.423,0.166,1.4262,-0.0922,-0.0808,-0.2026
-89.42735,18.61974,-1832.91,10.199,184.88,0.4086,135.47,33.13,0.5713,1.4023,0.194,1.4086,-0.0624,0.055,0.2603
-86.65799,340.34997,-1950.36,11.398,177.32,0.4222,80.36,38.66,0.607,1.3181,0.1908,1.4222,-0.0935,0.1063,0.2315
-87.64452,95.69139,-3287.49,20.339,180.67,0.3988,19.02,66.49,0.754,1.623,0.1362,1.3988,0.0502,-0.0479,-0.1774
-87.17382,181.46301,-3159.44,14.711,180.08,0.5065,0.0,50.16,0.7783,1.5908,0.1576,1.5065,-0.1133,0.1291,-0.1638
-86.17501,32.65264,-1588.28,11.156,198.05,0.4922,155.0,43.64,0.4935,1.1616,0.2289,1.4922,-0.1928,-0.0817,-0.2698
-86.82641,152.51584,-3040.82,11.354,168.65,0.6043,0.0,48.32,0.8037,1.6997,0.15,1.6043,0.1215,-0.0722,0.1947
-87.2321,334.83799,-1418.63,9.778,175.12,0.4066,177.9,30.53,0.5486,1.2672,0.2176,1.4066,0.1565,-0.063,0.2553
-87.20396,180.86868,-2941.62,18.735,175.46,0.5401,53.2,45.02,0.6937,1.5096,0.1624,1.5401,0.1362,0.1493,-0.1472
-88.48025,349.60865,-1645.4,10.374,180.38,0.2572,131.52,46.3,0.4574,1.1484,0.2477,1.2572,-0.159,0.1422,0.2268
-89.84591,93.18083,-2834.07,10.083,177.52,0.5073,68.48,39.96,0.6506,1.4162,0.153,1.5073,0.0986,0.1055,-0.1798
-87.81641,181.63629,-2845.43,9.252,164.63,0.6723,0.0,32.52,0.8262,1.7661,0.1259,1.6723,-0.1022,-0.0858,-0.1628
-88.92708,309.43109,-1897.39,7.948,186.48,0.3216,133.18,36.87,0.3814,0.995,0.2873,1.3216,0.1391,-0.2078,0.2857
-87.95736,161.37085,-2852.92,5.074,165.36,0.3453,29.38,35.16,0.586,1.3328,0.2206,1.3453,0.0677,-0.0765,-0.2786
-85.73298,100.61545,-2757.13,8.196,159.75,0.5802,0.0,37.64,0.8417,1.7649,0.0868,1.5802,-0.0661,0.0709,0.0969
-88.8303,307.97113,-2166.91,18.595,191.0,0.6009,89.72,55.82,0.707,1.5425,0.1293,1.6009,0.1011,-0.1082,0.1445
-89.70849,140.36021,-3373.08,11.797,162.24,0.5314,0.0,34.95,0.6931,1.5411,0.1536,1.5314,0.0681,0.0504,0.2194
-88.59308,191.06038,-3043.96,15.88,170.0,0.4805,0.0,50.25,0.776,1.6575,0.1638,1.4805,-0.1411,-0.0614,0.1875
-88.53203,351.54974,-1907.76,7.125,192.63,0.5427,119.96,30.19,0.501,1.225,0.2341,1.5427,0.0798,-0.1513,-0.318
-86.69042,67.13399,-2352.85,14.21,185.95,0.3884,69.1,50.39,0.606,1.3534,0.1785,1.3884,-0.1225,-0.0585,0.2073
-87.21484,108.50423,-3529.91,12.247,176.36,0.5696,0.0,59.57,0.807,1.6377,0.0966,1.5696,0.089,0.0474,-0.1131
-86.08051,11.18506,-1427.9,7.637,191.82,0.256,155.15,28.6,0.3638,0.9106,0.2626,1.256,-0.1068,-0.1192,-0.2885
-86.67843,141.06158,-2921.19,13.087,176.44,0.4328,5.18,51.54,0.6583,1.3698,0.1611,1.4328,0.1305,-0.0607,0.1806
-87.96807,72.06604,-2620.75,9.273,184.35,0.4752,26.89,55.63,0.6705,1.561,0.1907,1.4752,-0.1493,0.1355,0.1963
-85.9299,244.81258,-2617.67,6.367,178.7,0.5408,42.43,36.39,0.6711,1.3632,0.1921,1.5408,0.1473,0.1178,-0.2281
-89.16514,65.27573,-2471.08,16.149,159.5,0.5512,33.57,54.05,0.6229,1.4564,0.1672,1.5512,-0.1508,0.1183,0.1748
-89.88644,242.93259,-2658.9,13.022,180.0,0.471,113.81,34.81,0.6569,1.41,0.1917,1.471,-0.1302,-0.1099,-0.2247
-89.54976,94.85115,-3158.54,10.953,175.57,0.4789,0.0,56.22,0.7325,1.6313,0.164,1.4789,0.0965,0.0885,-0.2041
-86.3882,127.87842,-3093.56,7.598,164.98,0.5748,0.0,37.83,0.7435,1.4794,0.1236,1.5748,0.0916,-0.0773,-0.1535
-87.69061,125.58983,-3609.62,5.819,182.96,0.6104,0.0,40.07,0.7999,1.6681,0.1263,1.6104,-0.0742,-0.1139,-0.1514
-89.19364,258.03063,-2324.55,12.448,185.59,0.4391,128.76,40.22,0.5411,1.3385,0.2228,1.4391,-0.1058,-0.1149,0.28
-87.49478,167.94333,-2993.25,20.353,170.68,0.6155,0.0,60.96,0.8317,1.7663,0.1205,1.6155,-0.0453,-0.0889,0.1671
-89.23844,130.0676,-3585.75,14.15,179.0,0.5174,0.0,49.05,0.7069,1.5142,0.1254,1.5174,-0.0668,-0.1016,-0.1464
-86.5184,306.94418,-2455.25,4.602,176.28,0.4312,61.93,33.46,0.5421,1.1703,0.2183,1.4312,0.1629,-0.1401,0.2268
-87.76922,205.90223,-2625.82,12.885,177.34,0.4815,47.43,54.56,0.654,1.3802,0.1904,1.4815,-0.1631,0.0819,0.215
-88.09489,76.9791,-2309.93,11.041,190.46,0.5106,106.1,50.01,0.5773,1.3931,0.2353,1.5106,-0.2097,0.0884,-0.273
-88.49244,324.03286,-1867.99,14.995,176.93,0.4834,149.68,40.39,0.4161,1.0483,0.2452,1.4834,-0.1028,0.1587,0.3107
-86.84859,123.35411,-2768.72,14.998,168.92,0.4908,9.6,49.53,0.6333,1.4097,0.1738,1.4908,-0.111,-0.1272,-0.1965
-88.19094,14.03258,-1197.23,8.643,199.9,0.3522,186.1,24.96,0.4211,1.0879,0.2527,1.3522,0.147,-0.1734,0.2551
-89.56175,178.05608,-2825.88,14.772,170.52,0.5331,0.0,65.59,0.6963,1.4489,0.1691,1.5331,-0.0701,-0.1238,0.2167
-89.40997,44.6177,-1882.07,5.677,196.08,0.3109,114.77,30.55,0.4173,1.0881,0.2601,1.3109,-0.1475,-0.0687,0.2996
-85.19051,85.84792,-2312.68,4.203,163.01,0.6041,44.91,38.51,0.7637,1.601,0.1524,1.6041,-0.0844,0.1246,0.1927
-85.4571,268.95991,-2744.14,10.987,158.98,0.5424,19.99,48.46,0.6932,1.5238,0.1418,1.5424,-0.1262,-0.0966,0.1503
-86.50146,47.07065,-1516.69,12.226,188.38,0.4587,97.77,52.05,0.6398,1.3948,0.1904,1.4587,0.0839,-0.1653,-0.2068
-88.67065,290.49992,-2219.87,3.382,188.2,0.5102,90.16,27.07,0.5934,1.2708,0.1834,1.5102,-0.1479,0.1401,-0.1876
-85.15412,337.28662,-1743.31,14.019,177.8,0.4764,74.77,39.89,0.6254,1.3793,0.1845,1.4764,0.1522,0.1013,-0.2019
-86.10625,218.35156,-2513.47,15.415,179.84,0.4294,53.1,58.44,0.646,1.4656,0.2145,1.4294,0.1516,0.1443,-0.2241
-86.41555,255.72931,-2228.24,11.425,181.01,0.3918,40.38,48.63,0.4512,1.1416,0.2186,1.3918,-0.087,0.1358,-0.258
-87.75319,256.89118,-2606.65,7.394,165.22,0.5015,13.85,42.33,0.6454,1.4342,0.175,1.5015,-0.0799,0.088,-0.2343
-88.63879,357.41086,-1698.66,5.535,184.94,0.4381,164.78,33.62,0.4674,1.1927,0.2156,1.4381,0.1824,0.1282,0.2154
-89.51805,122.95377,-3024.61,17.46,173.41,0.6135,15.18,57.62,0.7726,1.626,0.1404,1.6135,0.0522,0.0638,0.2109
-85.48699,58.62836,-1687.89,2.861,197.94,0.2824,165.69,29.71,0.3149,0.9066,0.3139,1.2824,0.0994,-0.0947,0.3784
-87.72112,186.9002,-2821.7,17.362,168.75,0.4761,64.62,52.43,0.674,1.4545,0.1742,1.4761,0.1521,-0.1268,0.1641
-88.98818,191.96993,-2677.25,11.007,169.55,0.4901,9.09,50.34,0.65,1.4878,0.1767,1.4901,0.1345,-0.0931,-0.2063
-88.47022,64.0485,-2143.65,10.59,184.37,0.4584,130.6,38.72,0.561,1.3121,0.2358,1.4584,0.1715,-0.1728,0.243
-87.1039,220.71939,-2620.12,4.292,173.34,0.574,0.0,34.81,0.7417,1.5588,0.1544,1.574,0.0642,0.0961,0.2139
-89.11614,5.0849,-1868.38,9.942,186.87,0.4654,135.54,33.72,0.5789,1.2518,0.2196,1.4654,-0.1273,0.1686,-0.2427
-85.71693,333.96062,-2229.75,14.26,173.41,0.5338,62.22,44.76,0.7321,1.6265,0.1654,1.5338,0.1361,-0.1258,0.1733
-86.2074,95.24674,-3047.83,5.682,179.99,0.6346,0.0,39.85,0.7913,1.6289,0.0734,1.6346,-0.0398,0.0607,0.0956
-86.40269,14.24168,-1789.79,13.056,183.12,0.4104,139.46,36.85,0.5848,1.3392,0.1996,1.4104,0.078,-0.1047,0.2495
-87.83953,38.9698,-1893.46,11.156,185.04,0.5432,139.0,38.49,0.4908,1.3029,0.2116,1.5432,-0.0667,-0.1908,-0.2564
-86.86346,86.48962,-2552.31,8.436,166.3,0.6769,72.23,39.25,0.8852,1.8563,0.0825,1.6769,-0.0621,-0.0501,-0.113
-87.07951,98.60622,-3081.69,16.686,164.29,0.4404,0.0,56.05,0.6801,1.5687,0.1983,1.4404,0.0907,-0.1477,-0.227
-86.75077,11.8116,-1493.96,5.15,193.45,0.3671,154.56,27.25,0.4266,1.0557,0.2475,1.3671,-0.1845,-0.1339,-0.2499
-89.57778,100.56773,-3422.22,14.633,172.56,0.6592,0.0,49.12,0.8547,1.821,0.1473,1.6592,0.0766,0.0718,0.2206
-87.92096,69.45903,-2438.06,19.588,182.96,0.499,65.31,53.07,0.7,1.5213,0.1338,1.499,0.0523,-0.0906,-0.1712
-89.79193,136.30353,-3167.38,19.735,174.41,0.4944,0.0,51.25,0.8069,1.7093,0.104,1.4944,-0.0908,0.0602,-0.1108
-87.53005,138.66039,-3206.0,14.539,186.7,0.5218,0.0,51.21,0.807,1.7922,0.1409,1.5218,0.1256,0.0655,-0.1609
-88.35069,122.04279,-3646.94,11.713,164.02,0.5155,0.0,42.64,0.6383,1.4073,0.1762,1.5155,-0.1265,0.0942,0.2154
-89.27738,118.0526,-3365.36,9.639,157.04,0.5516,0.0,44.96,0.9282,1.886,0.0906,1.5516,0.0803,0.0371,0.1092
-89.48299,32.30326,-1110.95,8.076,184.72,0.2579,184.97,24.67,0.4082,1.0079,0.259,1.2579,0.0862,0.1938,0.2473
-87.06178,9.07378,-1541.21,12.926,177.42,0.5254,104.36,31.31,0.6554,1.493,0.1743,1.5254,0.1021,-0.1216,0.2133
-89.14704,72.76115,-2581.01,7.659,168.48,0.4002,50.2,48.99,0.5226,1.208,0.2162,1.4002,0.0853,0.0816,-0.2788
-85.3744,272.39379,-2544.25,15.43,182.6,0.4356,94.83,44.88,0.629,1.4575,0.1897,1.4356,0.1066,0.1378,-0.2094
-87.09469,356.69152,-1658.0,21.04,195.02,0.3539,119.98,59.8,0.4727,1.0738,0.2521,1.3539,0.1763,-0.1505,0.2506
-88.26565,334.26942,-1879.37,10.381,196.8,0.3578,115.88,34.25,0.5768,1.3503,0.2362,1.3578,0.1725,0.1568,0.2202
-87.04542,181.51897,-2770.4,5.245,179.74,0.555,45.65,42.93,0.71,1.5038,0.1546,1.555,-0.0485,0.1043,0.2111
-89.88598,191.45659,-2975.15,5.536,187.13,0.514,0.0,32.55,0.7706,1.6696,0.1301,1.514,0.0701,-0.0442,0.1787
-85.2072,113.24936,-3128.44,16.362,167.15,0.4826,0.0,55.42,0.6912,1.5053,0.1545,1.4826,-0.1369,0.0644,-0.172
-87.58848,278.6182,-2508.82,11.293,164.45,0.5231,60.05,36.97,0.6704,1.4459,0.2015,1.5231,-0.1337,0.1557,0.2281
-86.08632,275.31241,-2539.66,16.02,178.43,0.5154,0.0,67.03,0.718,1.5295,0.1697,1.5154,-0.0819,-0.129,0.2068
-89.58635,303.93805,-2261.38,8.57,160.86,0.4939,44.56,38.27,0.727,1.5208,0.1148,1.4939,-0.061,-0.086,-0.1353
-87.56671,322.38165,-2009.71,15.031,180.47,0.3517,132.05,46.78,0.6184,1.4314,0.1509,1.3517,0.0671,0.042,0.1879
-87.54647,156.36573,-3094.41,11.639,176.74,0.5705,20.65,48.16,0.7474,1.5435,0.1293,1.5705,-0.077,0.106,0.1551
-85.31087,276.0752,-2240.95,7.546,180.07,0.4077,87.13,34.66,0.5049,1.1945,0.2329,1.4077,-0.1239,-0.1232,0.2775
-87.14136,290.30354,-2369.17,9.387,179.67,0.4405,89.55,39.95,0.6193,1.4081,0.1888,1.4405,-0.1095,-0.1298,0.2124
-87.63255,111.04546,-3233.38,6.644,160.55,0.637,0.0,46.76,0.9988,2.0788,0.0707,1.637,-0.0447,-0.0357,-0.1006
-88.66512,334.52721,-1969.2,20.766,184.88,0.5078,119.74,55.51,0.6784,1.485,0.1658,1.5078,0.1016,-0.127,0.1899
-88.34216,33.96294,-1538.15,9.72,195.12,0.2807,136.72,35.14,0.253,0.7927,0.3419,1.2807,0.0925,-0.2596,-0.3403
-87.39664,357.9369,-1579.55,13.484,188.35,0.4036,145.52,41.91,0.4963,1.2077,0.2467,1.4036,-0.0768,0.1044,0.3211
-87.80544,277.23266,-2265.29,8.559,170.17,0.6405,54.5,48.33,0.7371,1.4756,0.151,1.6405,0.0863,0.1272,-0.1942
-89.89194,33.57753,-1488.69,4.872,183.65,0.3969,189.04,21.05,0.4243,1.0189,0.2787,1.3969,0.2156,0.172,0.2746
-85.86854,236.24267,-2550.61,10.483,174.85,0.4462,90.59,29.66,0.5878,1.3217,0.1672,1.4462,-0.1248,-0.0748,-0.1931
-85.5192,12.30459,-1561.83,15.742,196.29,0.3894,185.21,34.24,0.4085,1.018,0.2594,1.3894,-0.088,-0.1145,-0.3302
-89.29875,277.2673,-2359.0,8.774,179.23,0.5242,51.86,34.16,0.7021,1.4433,0.164,1.5242,0.0995,-0.1232,0.1935
-87.22982,287.72025,-2108.37,6.666,171.16,0.4352,60.55,31.05,0.5542,1.3296,0.2236,1.4352,0.1418,0.1007,0.2697
-89.45712,216.86769,-2780.65,12.759,159.84,0.6512,60.24,40.39,0.7891,1.6755,0.0974,1.6512,-0.0631,-0.0352,0.1437
-86.6388,308.46974,-2281.74,13.762,184.38,0.4045,88.14,43.91,0.5974,1.3628,0.1917,1.4045,-0.129,0.148,-0.1843
-88.59383,35.23798,-1648.65,18.575,180.94,0.3597,144.99,48.22,0.4304,1.054,0.2617,1.3597,-0.2131,0.155,0.2391
-86.70289,99.33258,-2896.81,13.916,175.51,0.6774,0.0,52.06,0.8434,1.7534,0.1228,1.6774,0.0491,-0.1037,0.171
-86.36503,149.10391,-3282.8,15.92,163.95,0.517,0.0,50.23,0.664,1.4882,0.1979,1.517,0.122,0.1325,0.2403
-86.15676,15.28486,-1569.03,13.843,175.91,0.382,110.54,47.44,0.507,1.1979,0.2429,1.382,-0.1359,-0.1365,-0.2749
-89.4613,161.35779,-3015.49,6.552,173.41,0.4143,17.47,41.19,0.6944,1.5333,0.1627,1.4143,0.0978,-0.1169,-0.1724
-85.41994,95.47684,-3226.46,7.803,191.2,0.5013,18.72,48.21,0.8959,1.7937,0.1089,1.5013,0.0436,-0.0348,-0.1537
-88.84893,141.3846,-3405.73,7.457,177.04,0.6508,8.36,44.79,0.7104,1.5416,0.1544,1.6508,-0.1161,-0.0828,-0.2113
-89.81294,153.03695,-3128.11,5.818,172.15,0.4702,8.44,36.35,0.5861,1.395,0.2036,1.4702,0.0652,0.135,0.2592
-87.22574,316.58822,-2071.04,14.943,179.3,0.4238,51.44,55.08,0.598,1.4185,0.2126,1.4238,-0.1502,0.1748,-0.1961
-88.14539,97.32275,-2742.51,13.377,159.95,0.5795,31.67,49.06,0.7642,1.6891,0.1393,1.5795,0.1023,-0.0786,0.1781
-85.85105,321.74753,-2269.68,11.647,178.17,0.4098,137.22,41.17,0.6111,1.392,0.1995,1.4098,0.0934,-0.1659,0.2069
-85.95874,153.34955,-3161.95,9.491,149.91,0.67,0.0,47.84,0.9832,1.9746,0.085,1.67,0.0845,-0.0712,0.089
-88.41431,118.01078,-4098.15,24.145,183.84,0.5907,0.0,65.6,0.912,1.8368,0.1042,1.5907,0.0881,0.0653,-0.1243
-85.2355,180.90434,-2732.55,7.441,190.86,0.4072,69.15,36.49,0.6533,1.3549,0.2026,1.4072,0.1185,-0.1059,0.2366
-88.54541,150.38758,-3328.17,23.024,173.14,0.3973,0.0,63.88,0.706,1.4623,0.2065,1.3973,0.1721,0.0727,-0.22
-87.42471,92.65403,-3060.51,5.136,179.63,0.4842,68.35,28.31,0.8001,1.6718,0.142,1.4842,0.1121,-0.094,0.1517
-88.72017,180.96456,-2495.44,7.511,161.15,0.5746,28.47,28.41,0.6888,1.4967,0.1566,1.5746,0.0629,-0.0545,0.2321
-85.31978,54.64862,-1640.07,5.362,181.53,0.3406,106.3,26.6,0.4997,1.2702,0.2403,1.3406,-0.1406,0.1197,0.264
-89.17696,126.69478,-3419.16,14.706,184.34,0.5719,0.0,53.06,0.733,1.6385,0.1602,1.5719,0.1088,-0.0743,0.2145
-89.77545,203.68448,-2682.19,6.334,171.05,0.5469,0.0,44.93,0.6491,1.4043,0.1916,1.5469,0.1367,-0.1726,-0.1983
-87.82451,148.82697,-2986.82,6.911,165.48,0.5415,0.0,44.35,0.7342,1.6157,0.1803,1.5415,0.1601,-0.096,-0.2058
-85.03812,296.60845,-2233.92,4.336,165.27,0.4564,74.64,29.51,0.6239,1.3743,0.1542,1.4564,-0.0891,-0.0889,0.186
-85.54161,92.41983,-2840.73,15.954,186.92,0.5489,47.01,47.0,0.7349,1.61,0.1804,1.5489,-0.0645,-0.0979,0.2537
-86.25696,349.11777,-2156.92,14.646,182.28,0.4047,102.74,43.36,0.5495,1.3194,0.2502,1.4047,-0.1377,-0.0896,0.3107
-85.54604,282.49993,-2517.42,20.665,163.69,0.5158,61.97,51.47,0.5726,1.3783,0.2167,1.5158,-0.1692,0.112,0.2583
-85.53277,348.33349,-1539.52,6.776,179.35,0.4452,133.97,19.54,0.3877,0.9957,0.28,1.4452,-0.139,-0.207,-0.3187
-87.40571,301.72916,-1636.18,11.437,181.38,0.4786,172.83,26.47,0.486,1.2283,0.2299,1.4786,-0.0717,0.1525,-0.2953
-88.42035,51.15741,-1902.08,4.277,197.77,0.2069,230.57,26.0,0.3932,0.9356,0.2664,1.2069,-0.1033,-0.1206,-0.2796
-86.13994,189.52563,-2859.04,10.418,176.01,0.4716,34.83,52.3,0.6631,1.5258,0.1885,1.4716,-0.1312,-0.1465,-0.1956
-86.69169,61.19227,-2361.86,8.787,174.32,0.4654,66.8,41.94,0.6087,1.3726,0.2057,1.4654,-0.0707,-0.0608,-0.2867
-88.13171,294.56185,-2141.77,13.389,182.08,0.5364,46.89,46.28,0.6809,1.4893,0.1829,1.5364,0.0985,-0.1491,0.2169
-89.52767,210.29837,-3048.88,17.45,170.63,0.5235,0.0,49.21,0.8786,1.7039,0.1138,1.5235,0.0439,0.0388,0.1632
