x,y,intensity
64,2,0.2661
65,2,0.2679
66,2,0.3613
67,2,0.3036
68,2,0.3347
69,2,0.3485
70,2,0.4264
71,2,0.4417
72,2,0.4689
73,2,0.4272
74,2,0.5117
75,2,0.4679
76,2,0.4898
77,2,0.512
78,2,0.5334
79,2,0.5705
80,2,0.5675
81,2,0.6185
82,2,0.5513
83,2,0.6535
84,2,0.6301
85,2,0.6577
86,2,0.6722
87,2,0.7322
88,2,0.7301
89,2,0.7195
90,2,0.711
91,2,0.7622
92,2,0.7973
93,2,0.7456
94,2,0.6998
95,2,0.7262
0,3,0.5168
1,3,0.5071
2,3,0.5149
3,3,0.5336
4,3,0.5829
5,3,0.5531
6,3,0.6164
7,3,0.6376
8,3,0.638
9,3,0.6357
10,3,0.7119
11,3,0.6545
12,3,0.7114
13,3,0.7383
14,3,0.7301
15,3,0.7695
16,3,0.7041
17,3,0.7184
18,3,0.7306
19,3,0.8437
20,3,0.7591
21,3,0.7619
22,3,0.7562
23,3,0.7329
24,3,0.7543
25,3,0.6574
26,3,0.7111
27,3,0.7035
28,3,0.7077
29,3,0.6278
30,3,0.6142
31,3,0.5992
32,3,0.6277
33,3,0.6096
34,3,0.5458
35,3,0.6121
36,3,0.5432
37,3,0.518
38,3,0.4876
39,3,0.5014
40,3,0.465
41,3,0.4901
42,3,0.3776
43,3,0.3489
44,3,0.355
45,3,0.3766
46,3,0.3309
47,3,0.3667
48,3,0.3028
49,3,0.3343
50,3,0.2656
51,3,0.3162
52,3,0.3135
53,3,0.2487
54,3,0.2752
55,3,0.2651
56,3,0.2707
57,3,0.2937
58,3,0.286
59,3,0.2755
60,3,0.2849
61,3,0.2336
62,3,0.2786
63,3,0.2565
64,3,0.3002
65,3,0.3468
66,3,0.3269
67,3,0.267
68,3,0.3269
69,3,0.3929
70,3,0.3773
71,3,0.4357
72,3,0.3953
73,3,0.4628
74,3,0.4845
75,3,0.5156
76,3,0.4926
77,3,0.556
78,3,0.5979
79,3,0.5043
80,3,0.5932
81,3,0.5561
82,3,0.6023
83,3,0.6217
84,3,0.659
85,3,0.6871
86,3,1.0
87,3,0.7096
88,3,0.7328
89,3,0.6896
90,3,0.7615
91,3,0.6372
92,3,0.7865
93,3,0.7841
94,3,0.7675
95,3,0.8114
0,4,0.4459
1,4,0.5435
2,4,0.5441
3,4,0.567
4,4,0.544
5,4,0.6094
6,4,0.6261
7,4,0.6121
8,4,0.6471
9,4,0.625
10,4,0.6666
11,4,0.7202
12,4,0.7324
13,4,0.7361
14,4,0.7505
15,4,0.7581
16,4,0.7151
17,4,0.7485
18,4,0.7732
19,4,0.6998
20,4,0.6985
21,4,0.6941
22,4,0.6793
23,4,0.6954
24,4,0.7035
25,4,0.7555
26,4,0.6865
27,4,0.6422
28,4,0.6794
29,4,0.6542
30,4,0.6209
31,4,0.6101
32,4,0.6423
33,4,0.5497
34,4,0.5232
35,4,0.5678
36,4,0.5156
37,4,0.5606
38,4,0.4893
39,4,0.4709
40,4,0.4776
41,4,0.3843
42,4,0.4255
43,4,0.3859
44,4,0.4099
45,4,0.3428
46,4,0.3515
47,4,0.3205
48,4,0.3299
49,4,0.2975
50,4,0.3017
51,4,0.3368
52,4,0.2674
53,4,0.2814
54,4,0.3328
55,4,0.2725
56,4,0.1861
57,4,0.239
58,4,0.2245
59,4,0.2915
60,4,0.2659
61,4,0.3071
62,4,0.3016
63,4,0.3111
64,4,0.2672
65,4,0.3314
66,4,0.3708
67,4,0.3013
68,4,0.351
69,4,0.3881
70,4,0.3981
71,4,0.4567
72,4,0.4545
73,4,0.4643
74,4,0.4965
75,4,0.5149
76,4,0.5133
77,4,0.5215
78,4,0.5816
79,4,0.549
80,4,0.5881
81,4,0.5738
82,4,0.648
83,4,0.6797
84,4,0.6304
85,4,0.6684
86,4,0.672
87,4,0.7308
88,4,0.7517
89,4,0.7041
90,4,0.6335
91,4,0.767
92,4,0.7383
93,4,0.7413
94,4,0.77
95,4,0.7298
0,5,0.4811
1,5,0.509
2,5,0.5539
3,5,0.5848
4,5,0.6263
5,5,0.6077
6,5,0.6089
7,5,0.6567
8,5,0.6169
9,5,0.7036
10,5,0.6812
11,5,0.6806
12,5,0.6697
13,5,0.7275
14,5,0.7088
15,5,0.7214
16,5,0.6795
17,5,0.7204
18,5,0.7186
19,5,0.7488
20,5,0.7271
21,5,0.653
22,5,0.7157
23,5,0.6786
24,5,0.6835
25,5,0.736
26,5,0.6449
27,5,0.6927
28,5,0.6556
29,5,0.6356
30,5,0.612
31,5,1.0
32,5,0.621
33,5,0.5384
34,5,0.6062
35,5,0.5171
36,5,0.545
37,5,0.4783
38,5,0.4803
39,5,0.4361
40,5,0.4391
41,5,0.4298
42,5,0.3827
43,5,0.4084
44,5,0.3949
45,5,0.4462
46,5,0.3772
47,5,0.37
48,5,0.2681
49,5,0.2502
50,5,0.2892
51,5,0.3422
52,5,0.3548
53,5,0.2534
54,5,0.2515
55,5,0.282
56,5,0.2581
57,5,0.2588
58,5,0.2845
59,5,0.3501
60,5,0.3126
61,5,0.3359
62,5,0.2324
63,5,0.3293
64,5,0.2794
65,5,0.3703
66,5,0.374
67,5,0.366
68,5,0.3411
69,5,0.3654
70,5,0.9879
71,5,0.4382
72,5,0.4461
73,5,0.4957
74,5,0.5209
75,5,0.4668
76,5,0.5261
77,5,0.5453
78,5,0.548
79,5,0.5981
80,5,0.6031
81,5,0.5891
82,5,0.6192
83,5,0.6294
84,5,0.6334
85,5,0.6669
86,5,0.6437
87,5,0.7087
88,5,0.7471
89,5,0.7155
90,5,0.75
91,5,0.7323
92,5,0.7014
93,5,0.7952
94,5,0.6635
95,5,0.7361
0,6,0.4769
1,6,0.5666
2,6,0.5447
3,6,0.6336
4,6,0.5764
5,6,0.5704
6,6,0.5591
7,6,0.66
8,6,0.6173
9,6,0.6444
10,6,0.7073
11,6,1.0
12,6,0.6755
13,6,0.6898
14,6,0.659
15,6,0.6569
16,6,0.7467
17,6,0.7538
18,6,0.7404
19,6,0.7359
20,6,0.708
21,6,1.0
22,6,0.6689
23,6,0.7026
24,6,0.7142
25,6,0.7007
26,6,0.6905
27,6,0.6636
28,6,0.6827
29,6,0.6162
30,6,0.6335
31,6,0.6349
32,6,0.5953
33,6,0.588
34,6,0.5763
35,6,0.4985
36,6,0.4825
37,6,0.5174
38,6,0.476
39,6,0.4586
40,6,0.4732
41,6,0.4078
42,6,0.3468
43,6,0.4513
44,6,0.4209
45,6,0.4043
46,6,0.3195
47,6,0.3365
48,6,0.2877
49,6,0.312
50,6,0.2927
51,6,0.2616
52,6,0.3012
53,6,0.272
54,6,0.3266
55,6,0.2742
56,6,0.1935
57,6,0.2155
58,6,0.3343
59,6,0.2638
60,6,0.2864
61,6,0.2857
62,6,0.3356
63,6,0.245
64,6,0.3526
65,6,0.3623
66,6,0.3377
67,6,0.3641
68,6,0.3557
69,6,0.3324
70,6,0.4173
71,6,0.4249
72,6,0.4437
73,6,0.4688
74,6,0.4551
75,6,0.5372
76,6,0.5118
77,6,0.5469
78,6,0.5414
79,6,0.5996
80,6,0.5893
81,6,0.6011
82,6,0.6566
83,6,0.5846
84,6,0.6429
85,6,0.6468
86,6,0.6892
87,6,0.699
88,6,0.6994
89,6,0.6872
90,6,0.7153
91,6,0.7316
92,6,0.7209
93,6,0.7622
94,6,0.7486
95,6,0.7304
0,7,0.4296
1,7,0.512
2,7,0.5559
3,7,0.5469
4,7,0.5821
5,7,0.5836
6,7,0.614
7,7,0.665
8,7,0.6617
9,7,0.6133
10,7,0.6155
11,7,0.6905
12,7,1.0
13,7,0.6474
14,7,0.699
15,7,0.7831
16,7,0.7089
17,7,0.7964
18,7,0.698
19,7,0.7038
20,7,0.7012
21,7,0.6813
22,7,0.6649
23,7,0.7034
24,7,0.7074
25,7,0.6731
26,7,0.6705
27,7,0.7171
28,7,0.6906
29,7,0.6403
30,7,0.6465
31,7,0.5692
32,7,0.6102
33,7,0.5833
34,7,0.5565
35,7,0.5508
36,7,0.5276
37,7,0.4736
38,7,0.5448
39,7,0.5044
40,7,0.4458
41,7,0.3865
42,7,0.348
43,7,0.4647
44,7,0.3829
45,7,0.3953
46,7,0.3291
47,7,0.3345
48,7,0.3233
49,7,0.3267
50,7,0.3119
51,7,0.2725
52,7,0.2646
53,7,0.284
54,7,0.2291
55,7,0.2539
56,7,0.2723
57,7,0.2888
58,7,0.3235
59,7,0.2671
60,7,0.287
61,7,0.2359
62,7,0.3094
63,7,0.2809
64,7,0.3092
65,7,0.3441
66,7,0.358
67,7,0.3126
68,7,0.395
69,7,0.3854
70,7,0.4409
71,7,0.4638
72,7,0.4858
73,7,0.4129
74,7,0.4861
75,7,0.4453
76,7,0.5502
77,7,0.573
78,7,0.5774
79,7,0.5533
80,7,0.5999
81,7,0.5839
82,7,0.6171
83,7,0.6294
84,7,0.5867
85,7,0.6359
86,7,0.7407
87,7,0.6812
88,7,0.6985
89,7,0.702
90,7,0.6971
91,7,0.7162
92,7,0.7072
93,7,0.6536
94,7,0.7468
95,7,0.7712
0,8,0.4651
1,8,0.5055
2,8,0.5807
3,8,0.5301
4,8,0.5821
5,8,0.7169
6,8,0.6222
7,8,0.6206
8,8,0.6596
9,8,0.67
10,8,0.6395
11,8,0.6187
12,8,0.699
13,8,0.7125
14,8,0.689
15,8,0.7537
16,8,0.7526
17,8,0.736
18,8,0.7064
19,8,0.6525
20,8,0.7091
21,8,0.6567
22,8,0.6372
23,8,0.7219
24,8,0.7309
25,8,0.6291
26,8,0.6705
27,8,0.667
28,8,0.6469
29,8,0.6014
30,8,0.6688
31,8,0.9595
32,8,0.54
33,8,0.5409
34,8,0.5798
35,8,0.54
36,8,0.5073
37,8,0.5284
38,8,0.5046
39,8,0.4075
40,8,0.4745
41,8,0.477
42,8,0.4208
43,8,0.4009
44,8,0.4489
45,8,0.3557
46,8,0.3577
47,8,0.3593
48,8,0.3385
49,8,0.3178
50,8,0.3187
51,8,0.3544
52,8,0.3242
53,8,0.2918
54,8,0.2636
55,8,0.2646
56,8,0.3135
57,8,0.2371
58,8,0.3584
59,8,0.2882
60,8,0.2522
61,8,0.3048
62,8,0.2825
63,8,0.3025
64,8,0.2796
65,8,0.3288
66,8,0.2844
67,8,0.3433
68,8,0.3507
69,8,0.3755
70,8,0.3835
71,8,0.4239
72,8,0.4665
73,8,0.4681
74,8,0.514
75,8,0.4779
76,8,0.5205
77,8,0.5396
78,8,0.5809
79,8,0.5417
80,8,0.6042
81,8,0.5712
82,8,0.5955
83,8,0.6167
84,8,0.655
85,8,0.6218
86,8,0.638
87,8,0.6578
88,8,0.6882
89,8,0.6669
90,8,0.7099
91,8,0.6967
92,8,0.7313
93,8,0.716
94,8,0.7678
95,8,0.7185
0,9,0.4634
1,9,0.5108
2,9,0.5349
3,9,0.5238
4,9,0.613
5,9,0.5742
6,9,0.5796
7,9,0.6191
8,9,0.6004
9,9,0.6696
10,9,0.6757
11,9,0.6677
12,9,0.6914
13,9,0.6673
14,9,0.6446
15,9,0.686
16,9,0.6855
17,9,0.6428
18,9,0.6741
19,9,0.6694
20,9,0.6738
21,9,0.743
22,9,0.7146
23,9,0.7231
24,9,0.7029
25,9,0.7123
26,9,0.6716
27,9,0.706
28,9,0.6123
29,9,0.6348
30,9,0.5927
31,9,0.6465
32,9,0.6069
33,9,0.6144
34,9,0.5205
35,9,0.5279
36,9,0.4756
37,9,0.5229
38,9,0.482
39,9,0.5003
40,9,0.4616
41,9,0.3801
42,9,0.3778
43,9,0.4143
44,9,0.4105
45,9,0.3156
46,9,0.3659
47,9,0.3251
48,9,0.3105
49,9,0.3135
50,9,0.3273
51,9,0.2941
52,9,0.2487
53,9,0.3061
54,9,0.2878
55,9,0.2672
56,9,0.2846
57,9,0.2834
58,9,0.2965
59,9,0.2905
60,9,0.3071
61,9,0.3062
62,9,0.3392
63,9,0.3703
64,9,0.3317
65,9,0.3241
66,9,0.3113
67,9,0.3865
68,9,0.3536
69,9,0.4656
70,9,0.4937
71,9,0.4197
72,9,0.3924
73,9,0.4787
74,9,0.539
75,9,0.4538
76,9,0.5673
77,9,0.472
78,9,0.5008
79,9,0.5703
80,9,0.6077
81,9,0.5909
82,9,0.6214
83,9,0.6553
84,9,0.6722
85,9,0.6294
86,9,0.6336
87,9,0.7014
88,9,0.6926
89,9,0.7046
90,9,0.6737
91,9,0.718
92,9,0.6699
93,9,0.7126
94,9,0.7096
95,9,0.7095
0,10,0.5234
1,10,0.4857
2,10,0.5529
3,10,0.5492
4,10,0.5405
5,10,0.5399
6,10,0.6509
7,10,0.6061
8,10,0.6108
9,10,0.5996
10,10,0.6781
11,10,0.6862
12,10,0.6899
13,10,0.6718
14,10,0.7032
15,10,0.6617
16,10,0.6975
17,10,0.6925
18,10,0.704
19,10,0.6421
20,10,0.7517
21,10,0.7419
22,10,0.6552
23,10,0.7022
24,10,0.634
25,10,0.6737
26,10,0.5967
27,10,0.6441
28,10,0.6274
29,10,0.665
30,10,0.6676
31,10,0.6548
32,10,0.6246
33,10,0.5775
34,10,0.5713
35,10,0.5553
36,10,0.4923
37,10,0.5458
38,10,0.5158
39,10,0.5008
40,10,0.3941
41,10,0.4602
42,10,0.4613
43,10,0.4155
44,10,0.3865
45,10,0.3468
46,10,0.3317
47,10,0.3671
48,10,0.3443
49,10,0.3337
50,10,0.3779
51,10,0.2865
52,10,0.3071
53,10,0.3629
54,10,0.2986
55,10,0.3072
56,10,0.2985
57,10,0.3248
58,10,0.2433
59,10,0.3015
60,10,0.3132
61,10,0.2869
62,10,0.3338
63,10,0.3548
64,10,0.3538
65,10,0.4037
66,10,0.3484
67,10,0.3884
68,10,0.4007
69,10,0.3931
70,10,0.4486
71,10,0.4382
72,10,0.4091
73,10,0.4835
74,10,0.4622
75,10,0.4838
76,10,0.5024
77,10,0.5482
78,10,0.5746
79,10,0.5533
80,10,0.567
81,10,0.527
82,10,0.5814
83,10,0.5879
84,10,0.6384
85,10,0.6377
86,10,0.6246
87,10,0.6663
88,10,0.6684
89,10,0.6018
90,10,0.7175
91,10,0.7196
92,10,0.6859
93,10,0.706
94,10,0.6867
95,10,0.9519
0,11,0.5649
1,11,0.538
2,11,0.559
3,11,0.5374
4,11,0.5946
5,11,0.5341
6,11,0.5817
7,11,0.6245
8,11,0.596
9,11,0.6539
10,11,0.6466
11,11,0.6537
12,11,0.6347
13,11,0.6762
14,11,0.7288
15,11,0.6815
16,11,0.6972
17,11,0.7046
18,11,0.6509
19,11,0.6817
20,11,0.68
21,11,0.619
22,11,0.703
23,11,0.6468
24,11,0.6893
25,11,0.6391
26,11,0.715
27,11,0.6362
28,11,0.6919
29,11,0.618
30,11,0.6096
31,11,0.6454
32,11,0.5574
33,11,0.5724
34,11,0.5725
35,11,0.5535
36,11,0.5275
37,11,0.508
38,11,0.5207
39,11,0.4852
40,11,0.4936
41,11,0.4613
42,11,0.4544
43,11,0.4546
44,11,0.3976
45,11,0.427
46,11,0.3768
47,11,0.328
48,11,0.3496
49,11,0.3281
50,11,0.3525
51,11,0.3252
52,11,0.3313
53,11,0.3528
54,11,0.363
55,11,0.3246
56,11,0.347
57,11,0.3091
58,11,0.2687
59,11,0.2827
60,11,0.316
61,11,0.3508
62,11,0.3273
63,11,0.376
64,11,0.4039
65,11,0.3318
66,11,0.4327
67,11,0.3313
68,11,0.4481
69,11,0.4046
70,11,0.4123
71,11,0.4332
72,11,0.4241
73,11,0.5082
74,11,0.4576
75,11,0.4769
76,11,0.4679
77,11,0.5028
78,11,0.5189
79,11,0.5319
80,11,0.5642
81,11,0.5501
82,11,0.6449
83,11,0.6054
84,11,0.6332
85,11,0.6591
86,11,0.7043
87,11,0.6802
88,11,0.6537
89,11,0.6361
90,11,1.0
91,11,0.7108
92,11,0.6867
93,11,0.6867
94,11,0.6921
95,11,0.6293
0,12,0.5044
1,12,0.5365
2,12,0.5275
3,12,0.5768
4,12,0.5917
5,12,0.5554
6,12,0.5968
7,12,0.5972
8,12,0.5468
9,12,0.6131
10,12,0.598
11,12,0.6422
12,12,0.667
13,12,0.6474
14,12,0.6331
15,12,0.6723
16,12,0.7426
17,12,0.6069
18,12,0.6807
19,12,0.6578
20,12,0.6606
21,12,0.6682
22,12,0.6579
23,12,0.6819
24,12,0.6511
25,12,0.5869
26,12,0.6825
27,12,0.6694
28,12,0.6077
29,12,0.617
30,12,0.6408
31,12,0.6233
32,12,0.6204
33,12,0.5777
34,12,0.5759
35,12,0.5811
36,12,0.5143
37,12,0.5234
38,12,0.4312
39,12,0.4338
40,12,0.4818
41,12,1.0
42,12,0.4273
43,12,0.4073
44,12,0.402
45,12,0.4062
46,12,0.3195
47,12,0.3921
48,12,0.3692
49,12,1.0
50,12,0.3474
51,12,0.3026
52,12,0.3052
53,12,0.3791
54,12,0.3105
55,12,0.3515
56,12,0.2935
57,12,0.3255
58,12,0.3139
59,12,0.3208
60,12,0.3228
61,12,0.381
62,12,0.4013
63,12,0.3575
64,12,0.346
65,12,0.3274
66,12,0.3352
67,12,0.4313
68,12,0.3552
69,12,0.3983
70,12,0.4289
71,12,0.3595
72,12,0.4138
73,12,0.4253
74,12,0.4598
75,12,0.502
76,12,0.5396
77,12,0.5033
78,12,0.5236
79,12,0.5479
80,12,0.541
81,12,0.5909
82,12,0.6045
83,12,0.5215
84,12,0.6336
85,12,0.6288
86,12,0.6424
87,12,0.6787
88,12,0.5975
89,12,0.6201
90,12,0.6613
91,12,0.5982
92,12,0.6648
93,12,0.6986
94,12,0.686
95,12,0.6762
0,13,0.493
1,13,0.5006
2,13,0.5123
3,13,0.5469
4,13,0.5064
5,13,0.6094
6,13,0.5555
7,13,0.6059
8,13,0.6025
9,13,0.5757
10,13,0.6586
11,13,0.6609
12,13,0.5891
13,13,0.6408
14,13,0.655
15,13,0.5914
16,13,0.5937
17,13,0.6349
18,13,0.622
19,13,0.6305
20,13,0.6217
21,13,0.6556
22,13,0.6295
23,13,0.6857
24,13,0.6526
25,13,0.6649
26,13,0.5833
27,13,0.6071
28,13,0.6211
29,13,0.6209
30,13,0.5774
31,13,0.5707
32,13,0.5623
33,13,0.5528
34,13,0.614
35,13,0.5455
36,13,0.524
37,13,0.4717
38,13,0.4589
39,13,0.4761
40,13,0.5031
41,13,0.4501
42,13,0.4385
43,13,0.4085
44,13,0.3666
45,13,0.4206
46,13,0.3891
47,13,0.4001
48,13,0.3822
49,13,0.3402
50,13,0.3684
51,13,0.3164
52,13,0.3562
53,13,0.3433
54,13,0.388
55,13,0.3135
56,13,0.2985
57,13,0.3259
58,13,0.3576
59,13,0.2576
60,13,0.3711
61,13,0.3429
62,13,0.9657
63,13,0.35
64,13,0.3461
65,13,0.3399
66,13,0.3277
67,13,0.4177
68,13,0.3896
69,13,0.406
70,13,0.455
71,13,0.4437
72,13,0.408
73,13,0.4881
74,13,0.5257
75,13,0.5097
76,13,0.4822
77,13,0.4774
78,13,0.5078
79,13,0.5509
80,13,0.6033
81,13,0.5501
82,13,0.5651
83,13,0.6264
84,13,0.5933
85,13,0.6675
86,13,0.6207
87,13,0.6682
88,13,0.6519
89,13,0.6678
90,13,0.6465
91,13,0.6526
92,13,0.6716
93,13,0.6849
94,13,0.6776
95,13,0.6085
0,14,0.5077
1,14,0.4927
2,14,0.5083
3,14,0.5505
4,14,0.5996
5,14,0.5533
6,14,0.6305
7,14,0.549
8,14,0.629
9,14,0.6143
10,14,0.6164
11,14,0.6596
12,14,0.6061
13,14,0.6698
14,14,0.6306
15,14,0.6219
16,14,0.6048
17,14,0.6946
18,14,0.6827
19,14,0.6344
20,14,0.6645
21,14,0.6502
22,14,0.6331
23,14,0.6689
24,14,0.6165
25,14,0.5639
26,14,0.6309
27,14,0.6178
28,14,0.5898
29,14,0.5719
30,14,0.5423
31,14,0.5679
32,14,0.5418
33,14,0.5857
34,14,0.5606
35,14,0.5186
36,14,0.5367
37,14,0.5054
38,14,0.4882
39,14,0.9984
40,14,0.5248
41,14,0.4789
42,14,0.4389
43,14,0.4632
44,14,0.4511
45,14,0.4227
46,14,0.3952
47,14,0.384
48,14,0.3551
49,14,0.3851
50,14,0.3545
51,14,0.3537
52,14,0.3805
53,14,0.4083
54,14,0.3658
55,14,0.3493
56,14,0.3508
57,14,0.3855
58,14,0.3639
59,14,0.3601
60,14,0.3653
61,14,0.3185
62,14,0.378
63,14,0.3459
64,14,0.3908
65,14,0.3646
66,14,0.4128
67,14,0.3996
68,14,0.3796
69,14,0.4157
70,14,0.5015
71,14,0.3785
72,14,0.4634
73,14,0.4401
74,14,0.524
75,14,0.5196
76,14,0.513
77,14,0.5473
78,14,0.5393
79,14,0.5442
80,14,0.5377
81,14,0.5561
82,14,0.5639
83,14,0.5884
84,14,0.541
85,14,0.6376
86,14,0.6734
87,14,0.6095
88,14,0.6643
89,14,0.6308
90,14,0.6215
91,14,0.6319
92,14,0.6488
93,14,0.6263
94,14,0.6669
95,14,0.6329
0,15,0.4678
1,15,0.5106
2,15,0.5016
3,15,0.5236
4,15,0.5426
5,15,0.5145
6,15,0.6085
7,15,0.5988
8,15,0.5646
9,15,0.5915
10,15,0.6191
11,15,0.6135
12,15,0.6701
13,15,0.6122
14,15,0.6599
15,15,0.5881
16,15,0.5959
17,15,0.684
18,15,0.6218
19,15,0.6
20,15,0.633
21,15,0.6708
22,15,0.6075
23,15,0.6258
24,15,0.5672
25,15,0.6037
26,15,0.6417
27,15,0.5816
28,15,0.5595
29,15,0.5663
30,15,0.5625
31,15,0.5945
32,15,0.5732
33,15,0.5687
34,15,0.5418
35,15,0.5115
36,15,0.9767
37,15,0.5208
38,15,0.5443
39,15,0.4572
40,15,0.4437
41,15,0.4292
42,15,0.4776
43,15,0.441
44,15,1.0
45,15,0.4076
46,15,0.4324
47,15,0.3968
48,15,0.3514
49,15,0.4185
50,15,0.3835
51,15,0.3698
52,15,0.383
53,15,0.3275
54,15,0.3809
55,15,0.3482
56,15,0.3604
57,15,0.3992
58,15,0.3852
59,15,0.3624
60,15,0.3674
61,15,0.2973
62,15,0.354
63,15,0.389
64,15,0.3672
65,15,0.3573
66,15,0.4191
67,15,0.4522
68,15,0.4003
69,15,0.4576
70,15,0.463
71,15,0.4223
72,15,0.4404
73,15,0.5273
74,15,0.4508
75,15,0.4772
76,15,0.5657
77,15,0.5009
78,15,0.5696
79,15,0.5093
80,15,0.5547
81,15,0.5934
82,15,0.5566
83,15,0.583
84,15,0.6111
85,15,0.5699
86,15,0.6716
87,15,0.6423
88,15,0.6065
89,15,0.6153
90,15,0.6841
91,15,0.6195
92,15,0.6185
93,15,0.6687
94,15,0.593
95,15,0.6325
0,16,0.5025
1,16,0.4889
2,16,0.4731
3,16,0.5319
4,16,0.5602
5,16,0.5285
6,16,0.5225
7,16,0.6042
8,16,0.5905
9,16,0.5715
10,16,0.617
11,16,0.6031
12,16,0.6553
13,16,0.6266
14,16,0.5693
15,16,0.5948
16,16,0.599
17,16,0.6286
18,16,0.6114
19,16,0.5869
20,16,0.6379
21,16,0.6488
22,16,0.6135
23,16,0.6199
24,16,0.5808
25,16,0.5896
26,16,0.5855
27,16,0.6107
28,16,0.595
29,16,0.5702
30,16,0.5612
31,16,0.5049
32,16,0.6034
33,16,0.4835
34,16,0.5493
